date,name,colour,count
2018-05-21,Antoine Duplantie-Grenier,646464,11
2018-05-21,Vitor Lima,B7E628,14
2018-05-21,Mario Born,FF9233,14
2018-05-21,Frank Oduro,FFCDF3,18
2018-05-21,Marc Devlin,2A4BD7,12
2018-05-21,Sasha Wloski,FFEE33,79
2018-05-21,Josh Felker,A03D3D,3
2018-05-21,Yibing Wen,8126C0,60
2018-05-21,Marc Devlin,2A4BD7,12
2018-05-21,Josh Felker,A03D3D,3
2018-05-21,Antoine Duplantie-Grenier,646464,11
2018-05-21,Mario Born,FF9233,14
2018-05-21,Yibing Wen,8126C0,63
2018-05-21,Sasha Wloski,FFEE33,79
2018-05-21,Vitor Lima,B7E628,14
2018-05-21,Frank Oduro,FFCDF3,18
2018-05-22,Frank Oduro,FFCDF3,18
2018-05-22,Mario Born,FF9233,14
2018-05-22,Vitor Lima,B7E628,14
2018-05-22,Sasha Wloski,FFEE33,79
2018-05-22,Marc Devlin,2A4BD7,12
2018-05-22,Antoine Duplantie-Grenier,646464,11
2018-05-22,Josh Felker,A03D3D,3
2018-05-22,Yibing Wen,8126C0,63
2018-05-22,Josh Felker,A03D3D,4
2018-05-22,Frank Oduro,FFCDF3,18
2018-05-22,Antoine Duplantie-Grenier,646464,11
2018-05-22,Vitor Lima,B7E628,14
2018-05-22,Mario Born,FF9233,14
2018-05-22,Sasha Wloski,FFEE33,79
2018-05-22,Yibing Wen,8126C0,63
2018-05-22,Marc Devlin,2A4BD7,12
2018-05-23,Vitor Lima,B7E628,14
2018-05-23,Yibing Wen,8126C0,63
2018-05-23,Marc Devlin,2A4BD7,12
2018-05-23,Josh Felker,A03D3D,4
2018-05-23,Sasha Wloski,FFEE33,79
2018-05-23,Antoine Duplantie-Grenier,646464,11
2018-05-23,Frank Oduro,FFCDF3,18
2018-05-23,Mario Born,FF9233,14
2018-05-23,Josh Felker,A03D3D,4
2018-05-23,Antoine Duplantie-Grenier,646464,11
2018-05-23,Yibing Wen,8126C0,63
2018-05-23,Sasha Wloski,FFEE33,56
2018-05-23,Jie Yu,626250,3
2018-05-23,Frank Oduro,FFCDF3,18
2018-05-23,Mario Born,FF9233,13
2018-05-23,Thad Murillo,#3B0B17,46
2018-05-23,Vitor Lima,B7E628,14
2018-05-23,Marc Devlin,2A4BD7,15
2018-05-24,Jie Yu,626250,4
2018-05-24,Frank Oduro,FFCDF3,18
